time,value
2025-02-28T07:42:18.89494529Z,17.04254150390625
2025-02-28T07:53:05.396532394Z,24.456787109375
2025-02-28T08:04:04.604126783Z,26.328659057617188
2025-02-28T08:15:03.543905665Z,27.32696533203125
2025-02-28T08:26:02.583370303Z,28.22723388671875
2025-02-28T08:37:01.672508737Z,28.58905792236328
2025-02-28T08:48:00.684679243Z,28.97815704345703
2025-02-28T08:59:05.923277012Z,29.17308807373047
2025-02-28T09:10:04.923904856Z,29.60033416748047
2025-02-28T09:21:03.944200703Z,28.44562530517578
2025-02-28T09:32:03.040925941Z,29.116249084472656
2025-02-28T09:43:01.875842685Z,29.1290283203125
2025-02-28T09:54:02.863912658Z,29.689598083496094
2025-02-28T10:05:01.751633225Z,30.021286010742188
